Biome,Ecoregion,Variable,Mean,Standard deviation,mtry,RMSE,Rsquared,MAE,Irreplaceable/AGC/BGC,Biome code
Tropical & Subtropical Moist Broadleaf Forests,Eastern Arc forests,Navigable water,6.0909602,1.6510954,4,11.189379,0.5272686,7.099908,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Eastern Arc forests,Pastures,52.39696142,7.2760753,4,11.189379,0.5272686,7.099908,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Eastern Arc forests,Population density,56.58719608,5.982093,4,11.189379,0.5272686,7.099908,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Eastern Arc forests,Roads,47.1383148,0.5251222,4,11.189379,0.5272686,7.099908,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Eastern Arc forests,y,100,0,4,11.189379,0.5272686,7.099908,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Eastern Congolian swamp forests,Croplands,0,0,2,45.673107,0.4860353,35.590845,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Eastern Congolian swamp forests,Navigable water,17.30945557,5.05351,2,45.673107,0.4860353,35.590845,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Eastern Congolian swamp forests,Pastures,6.07677534,4.845376,2,45.673107,0.4860353,35.590845,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Eastern Congolian swamp forests,Population density,100,0,2,45.673107,0.4860353,35.590845,irrep,TropMoBF
Tropical & Subtropical Moist Broadleaf Forests,Eastern Congolian swamp forests,Roads,68.73003022,6.5572774,2,45.673107,0.4860353,35.590845,irrep,TropMoBF
